Position,Full_name,Gender,Date_Of_Birth,Country,Card_Type,Balance,Mortgage,Car_maker
1,Ailbert Garmans,Male,1/2/1985,Brazil,jcb,$74034.31,true,Jeep
2,Gabi Smitham,Male,7/9/1975,Argentina,jcb,$25044.84,false,Porsche
3,Sanson De Cristoforo,Male,11/5/1993,Finland,jcb,$22464.38,true,Jaguar
4,Jerrome Portingale,Male,5/6/1974,Netherlands,jcb,$13440.41,true,GMC
5,Anson McQuin,Male,3/5/1990,Armenia,jcb,$22977.63,false,Porsche
6,Georgena Adlem,Female,2/28/1976,Sweden,jcb,$82482.72,false,Acura
7,Jeanie Whitlaw,Female,6/6/1983,Portugal,jcb,$27783.66,false,Subaru
8,Bourke Hanbury-Brown,Male,11/21/1994,Russia,switch,$12891.72,false,Subaru
9,Gibb Monard,Male,9/27/1988,Philippines,jcb,$84656.97,false,Scion
10,Katharina Sharplin,Female,12/25/1981,Philippines,china-unionpay,$86298.38,true,Geo
11,Krysta Wickham,Female,3/22/1979,Russia,jcb,$19145.26,true,Porsche
12,Holli Skidmore,Female,5/25/1998,Philippines,maestro,$58819.51,true,Cadillac
13,Casper Curnokk,Male,9/1/2000,Japan,jcb,$68822.92,false,Chrysler
14,Rockey Blanko,Male,12/22/1981,China,instapayment,$62011.35,false,Audi
15,Fairlie Ovett,Male,5/9/1979,China,diners-club-carte-blanche,$91936.51,false,Lexus
16,Dev Janeczek,Male,12/13/1979,China,jcb,$35503.51,false,BMW
17,Tucker Bradforth,Male,6/16/1993,United States,bankcard,$83059.32,true,Mitsubishi
18,Kale Crocket,Male,4/5/1971,Saint Kitts and Nevis,jcb,$80880.54,false,Honda
19,Valentino Emslie,Male,3/5/1982,Portugal,mastercard,$34632.40,false,Ram
20,Lorens Bourgourd,Male,11/22/1977,Portugal,visa-electron,$16922.01,true,Buick
21,Daryl Sharvill,Female,3/15/1981,United States,bankcard,$61749.68,true,Honda
22,Brittne Nicklinson,Female,6/12/1996,Russia,switch,$16907.33,true,Chevrolet
23,Stearne Glasser,Male,5/15/1977,France,jcb,$21887.42,true,Infiniti
24,Rudyard Antoszczyk,Male,11/25/1977,China,mastercard,$13119.41,true,Volvo
25,Maiga Vlasenko,Female,3/21/1988,Burundi,maestro,$64235.10,false,Ford
26,Babette Guitte,Female,6/19/1979,Iran,maestro,$44072.99,false,Honda
27,Rozina Ateggart,Female,3/26/1976,Portugal,jcb,$59493.96,false,Chevrolet
28,Gray Wickins,Female,7/12/1996,Nigeria,visa,$70427.41,false,Ford
